Title,Link
"Planšetė Samsung X820N Galaxy Tab S10+ Wi-Fi Platinum Sidabrinis 12,4"" / Octa-Cora / 12GB RAM / 512GB Atmintis",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-samsung-x820n-galaxy-tab-s10-wi-fi-platinum--39336683.html
"Planšetė „Apple iPad“ 10,2 colio „Wi-Fi“ + 256 GB mobilusis ryšys – sidabrinis, 9 kartos (2021 m.)",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-apple-ipad-102-colio-wi-fi-256-gb--16661448.html
"Planšetė GALAXY TAB S10+/12"" 256GB Pilkas SM-X820 SAMSUNG",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-galaxy-tab-s1012-256gb-pilkas-sm-x820--39334316.html
"Planšetė Lenovo | Tab | Extreme TB570FU | 14.5 "" | Storm Pilkas | OLED | 3000 x 1876 pikselių | MediaTek Dimensity 9000 | 12 GB | Soldered LPDDR5x | 256 GB | Wi-Fi | Front camera | 13 MP | Rear camera | 13+5 MP | Bluetooth | 5.3 | Android | 13 | Garantija 24 mėn.",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-lenovo-tab-extreme-tb570fu-145--31559027.html
"Planšetė Zebra ET80, 2D, USB, USB-C, BT, Wi-Fi, NFC, Win. 10 Pro",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-zebra-et80-2d-usb-usb-c-bt-wi-fi-nfc--36281817.html
Samsung GALAXY Tab S7 FE T733N WiFi 64GB mystic pink Android 11.0 Planšetė,https://www.varle.lt/plansetiniai-kompiuteriai/samsung-galaxy-tab-s7-fe-t733n-wifi-64gb-mystic-pink--17068727.html
"Planšetė Apple iPad Pro 11"" Wi-Fi 2TB - Space Gray 4th Gen",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-apple-ipad-pro-11-wi-fi-2tb-space-gray--22991979.html
"Blackview Planšetė TAB 80 LTE 8/128GB 7680 mAh 10,1 cala mėlyna",https://www.varle.lt/plansetiniai-kompiuteriai/blackview-plansete-tab-80-lte-8128gb-7680-mah-101--31341813.html
"Planšetė GALAXY TAB S10 ULTRA 5G/14"" 1TB GRAY SM-X926 SAMSUNG",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-galaxy-tab-s10-ultra-5g14-1tb-gray-sm-x926--40499937.html
"Planšetė Samsung X920N Galaxy Tab S10 Ultra Wi-Fi Moonstone Pilkas 14,6"" / Octa-Cora / 16GB RAM / 1TB Atmintis",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-samsung-x920n-galaxy-tab-s10-ultra-wi-fi--39225218.html
"Planšetė Hannspree HANNSpad Apollo 2 10.1"" 32 GB Juodas (SN1ATP5B)",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-hannspree-hannspad-apollo-2-101-32-gb-juodas--18856366.html
"Planšetė TAB9 WIFI 10"" 256GB/TAB 9 WIFI GRAY BLACKVIEW",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-tab9-wifi-10-256gbtab-9-wifi-gray-blackview--37644541.html
"Planšetė Samsung X920N Galaxy Tab S10 Ultra Wi-Fi Moonstone Pilkas 14,6"" / Octa-Cora / 12GB RAM / 256GB Atmintis",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-samsung-x920n-galaxy-tab-s10-ultra-wi-fi--39250820.html
"Planšetė Samsung 12 GB RAM 512 GB 12,4",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-samsung-12-gb-ram-512-gb-124--26578244.html
"Planšetė GALAXY TAB S10+ 5G/12"" 512GB Pilkas SM-X826 SAMSUNG",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-galaxy-tab-s10-5g12-512gb-pilkas-sm-x826--39353932.html
"Planšetė GALAXY TAB S10 ULTRA/14"" 512GB Pilkas SM-X920 SAMSUNG",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-galaxy-tab-s10-ultra14-512gb-pilkas-sm-x920--39699295.html
"Planšetė Samsung X826B Galaxy Tab S10+ 5G Moonstone Pilkas 12,4"" / Octa-Cora / 12GB RAM / 512GB Atmintis",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-samsung-x826b-galaxy-tab-s10-5g-moonstone--39225213.html
"Planšetė GALAXY TAB S10+/12"" 512GB Pilkas SM-X820 SAMSUNG",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-galaxy-tab-s1012-512gb-pilkas-sm-x820--39334323.html
"Planšetė Samsung S9 ULTRA X916 5G 12 GB RAM 14,6 256 GB",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-samsung-s9-ultra-x916-5g-12-gb-ram-146-256--26584957.html
"Planšetė Samsung SM-X916BZAAEUB 12 GB RAM 14,6 256 GB Pilka",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-samsung-sm-x916bzaaeub-12-gb-ram-146-256--26646719.html
Planšetė Microsoft Surface Pro10 1TB (i7/64GB) Platin W11 PRO,https://www.varle.lt/plansetiniai-kompiuteriai/plansete-microsoft-surface-pro10-1tb-i764gb-platin--36331285.html
Planšetė Doogee T20 Ultra LTE 12+256GB Mystery Pilkas,https://www.varle.lt/plansetiniai-kompiuteriai/plansete-doogee-t20-ultra-lte-12256gb-mystery-pilkas--39925467.html
"Planšetė Samsung S9 ultra 12 GB RAM 14,6 512 GB Pilka",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-samsung-s9-ultra-12-gb-ram-146-512-gb-pilka--26570900.html
"Samsung Planšetė Galaxy Tab S9 FE 10,9"" 128 GB 5G Graphite (SM-X516BZAAEEB)",https://www.varle.lt/plansetiniai-kompiuteriai/samsung-plansete-galaxy-tab-s9-fe-109-128-gb-5g--40924481.html
"Planšetė Samsung X820N Galaxy Tab S10+ Wi-Fi Moonstone Pilkas 12,4"" / Octa-Cora / 12GB RAM / 256GB Atmintis",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-samsung-x820n-galaxy-tab-s10-wi-fi-moonstone--39250819.html
"Planšetė Samsung Galaxy Tab A9+ 5G, 128GB, 11 col., Pilkos spalvos",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-samsung-galaxy-tab-a9-5g-128gb-11-col--31206092.html
"Planšetė Xiaomi Pad 6 11"" 6/128GB Wi-Fi (VHU4362EU), Pilkos spalvos",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-xiaomi-pad-6-11-6128gb-wi-fi-vhu4362eu--26263736.html
"Planšetė Xiaomi Redmi | Pad Pro 5G | 12,1 colio | Grafito pilka | IPS LCD | 1600 x 2560 pikselių | Qualcomm | Snapdragon 7s Gen 2 | 6 GB | 128 GB | Wi-Fi | Priekinė kamera | 8 MP | Galinė kamera | 8 MP | Bluetooth | 5.2 | Android | 14",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-xiaomi-redmi-pad-pro-5g-121-colio--37643533.html
"Planšetė GALAXY TAB S6LITE 2024/10.4"" 128GB GRAY P620 SAMSUNG",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-galaxy-tab-s6lite-2024104-128gb-gray-p620--36249416.html
"Planšetinis kompiuteris Lenovo Tab M11 11"" 4GB / 128GB Wi-Fi Luna Grey (ZADA0134SE), Pilka",https://www.varle.lt/plansetiniai-kompiuteriai/plansetinis-kompiuteris-lenovo-tab-m11-11-4gb-128gb--31860997.html
"Planšetė Samsung Galaxy Tab A9 8.7"" 64GB Wi-Fi, SM-X110N, Graphite - planšetinis kompiuteris (Pažeista pakuotė)",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-samsung-galaxy-tab-a9-87-64gb-wi-fi-sm-x110n--31540440.html
"Planšetė Apple iPad Air 11"" M2 Wi-Fi 128GB – violetinė",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-apple-ipad-air-11-m2-wi-fi-128gb-violetine--35619366.html
"Planšetė Samsung Galaxy Tab A9+ WIFI, 64GB, 11 col., Pilkos spalvos",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-samsung-galaxy-tab-a9-wifi-64gb-11-col--31148291.html
"Planšetė Lenovo Tab M10 Plus (3rd Gen) 10.6"" 4GB / 128GB Wi-Fi + LTE Storm Grey (ZAAN0125SE)",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-lenovo-m10-plus-3rd-gen-106--23470220.html
"Planšetė Samsung Galaxy Tab A9 LTE, 64GB, 8.7 col., Pilkos spalvos",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-samsung-galaxy-tab-a9-lte-64gb-87-col--31131863.html
Planšetė Samsung Galaxy Tab S6 Lite Wi-Fi (2022 Edition) Angora Mėlyna,https://www.varle.lt/plansetiniai-kompiuteriai/plansete-samsung-galaxy-tab-s6-lite-wi-fi-2022-edition--19593348.html
Planšetė Lenovo MPN,https://www.varle.lt/plansetiniai-kompiuteriai/plansete-lenovo-mpn--29536876.html
eSTAR 10'' HERO Powerpuff Girls Planšetė 2GB/64GB eSTAR 10'' HERO Powerpuff Girls Planšetė 2GB/64GB,https://www.varle.lt/plansetiniai-kompiuteriai/estar-10-hero-powerpuff-girls-plansete-2gb64gb--28243301.html
Planšetė BLOW PlatinumTAB11 4G planšetinis kompiuteris + dėklas,https://www.varle.lt/plansetiniai-kompiuteriai/plansete-blow-platinumtab11-4g-plansetinis-kompiuteris--28691091.html
"Planšetė Redmi Pad SE 11"" 8GB / 256GB Wi-Fi, mėtų spalvos",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-redmi-pad-se-11-8gb-256gb-wi-fi-metu--30039510.html
Planšetė Xiaomi Redmi Pad Pro 8+256GB Graphite Pilkas,https://www.varle.lt/plansetiniai-kompiuteriai/plansete-xiaomi-redmi-pad-pro-8256gb-graphite-pilkas--36317452.html
"Planšetinis kompiuteris Xiaomi Pad 6S Pro 12.4"" 8/256GB Wi-Fi Snapdragon 8 Gen 2 (4 nm), Grafito pilkos spalvos (VHU4704EU)",https://www.varle.lt/plansetiniai-kompiuteriai/plansetinis-kompiuteris-xiaomi-pad-6s-pro-124-8256gb--34461128.html
"Planšetė GALAXY TAB S6LITE 10.4""/64GB WIFI GRAY P613 SAMSUNG",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-galaxy-tab-s6lite-10464gb-wifi-gray-p613--32029520.html
"Planšetė Apple iPad 10,9"" Wi-Fi 256GB – Pink 10th Gen",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-apple-ipad-109-wi-fi-256gb-rozine-10th--21187115.html
"Planšetinis kompiuteris Lenovo TAB P11 2nd Gen 11.5"" 6/128GB Wi-Fi Storm Grey (TB350FU ZABF0355PL) + Lenovo Precision Pen 2 išmanus rašiklis",https://www.varle.lt/plansetiniai-kompiuteriai/plansetinis-kompiuteris-lenovo-tab-p11-2nd-gen-115--23475412.html
"Planšetė Lenovo Tab P12 12.7"" 8 GB / 128GB Wi-Fi Storm Grey (ZACH0112SE) + Pen",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-lenovo-tab-p12-127-8-gb-128gb-wi-fi-storm--26665526.html
"Planšetė Samsung Galaxy Tab | A9 (X110) | 8.7 "" | Pilkas | TFT LCD | 800 x 1340 pikselių | Mediatek | Helio G99 (6nm) | 8 GB | 128 GB | Wi-Fi | Front camera | Rear camera | Bluetooth | 5.3 | Android | 13 | Garantija 24 mėn.",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-samsung-galaxy-tab-a9-x110-87--31136298.html
Planšetė Teclast T60 12 colių planšetinis kompiuteris 8/256 GB WIFI LTE (pilkas),https://www.varle.lt/plansetiniai-kompiuteriai/plansete-teclast-t60-12-coliu-plansetinis-kompiuteris--35492772.html
"Planšetė GALAXY TAB S6LITE 10.4""/64GB WIFI GRAY P613 SAMSUNG",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-galaxy-tab-s6lite-10464gb-wifi-gray-p613--19248959.html
"Planšetė Samsung | Galaxy Tab A9+ | X216 | 11 "" | Sidabrinis | TFT LCD | 1200 x 1920 pikselių | Qualcomm SM6375 | Snapdragon 695 5G | 4 GB | 64 GB | 3G | 4G | 5G | Wi-Fi | Priekinė kamera | 5 MP | Galinė kamera | 8 MP | Bluetooth | 5.1 |. Garantija 24 mėn.",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-samsung-galaxy-tab-a9-x216-11--31791178.html
